EPG_Map_No,Channel_Name,Logo_Url,HD,Genre
1,One,https://static.sky.co.nz/sky/epglogos/TV1.png,true,Entertainment
2,TV2,https://static.sky.co.nz/sky/epglogos/TV2.png,true,Entertainment
3,Three,https://static.sky.co.nz/sky/epglogos/MK_Three_LogoThumbnail_80x60.png,true,Entertainment
4,Prime TV,https://static.sky.co.nz/sky/epglogos/Prime_Orange_80x60.png,,Entertainment
5,Sky 5,https://static.sky.co.nz/sky/epglogos/MK_SKY5_LogoThumbnail_70x70.png,,Entertainment
6,Vibe,https://static.sky.co.nz/sky/epglogos/VIBE.png,,Entertainment
7,UKTV,https://static.sky.co.nz/sky/epglogos/UKTV.png,,Entertainment
8,Jones!,https://static.sky.co.nz/sky/epglogos/JONES.png,,Entertainment
208,JONES! too,https://static.sky.co.nz/sky/epglogos/MK_JonesToo_LogoThumbnail_60x80.png,,Entertainment
9,SKY BOX SETS,https://static.sky.co.nz/sky/epglogos/MK_SKYBoxSets_LogoThumbnail_80x60.png,true,Entertainment
10,SoHo,https://static.sky.co.nz/sky/epglogos/MK_SoHo_LogoThumbnail2019_250x180.png,true,Entertainment
210,UniversalTV,https://static.sky.co.nz/sky/channel-logos/210_universal_tv.png,,Entertainment
11,Comedy Central,https://static.sky.co.nz/sky/epglogos/Comedy_Central.png,,Entertainment
12,BRAVO,https://static.sky.co.nz/sky/epglogos/mk_bravo_thumbnail.png,,Entertainment
13,eden,https://static.sky.co.nz/sky/epglogos/EdenLogoRed.png,,Entertainment
14,E!,https://static.sky.co.nz/sky/epglogos/E.png,,Entertainment
15,MTV,https://static.sky.co.nz/sky/epglogos/mtv.png,,Entertainment
16,TLC,https://static.sky.co.nz/sky/epglogos/MK_TLC_LogoThumb_70x70.png,,Entertainment
17,Living Channel,https://static.sky.co.nz/sky/epglogos/MK_LivingChannel_LogoSmall.jpg,,Lifestyle & Leisure
18,Investigation Discovery,https://static.sky.co.nz/sky/epglogos/MK_ID.png,,News & Documentaries
19,Maori Television,https://static.sky.co.nz/sky/epglogos/Maori_TV.png,,Entertainment
20,SKY ARTS,https://static.sky.co.nz/sky/epglogos/logo_020_80x60.png,,Lifestyle & Leisure
21,HGTV,https://static.sky.co.nz/sky/epglogos/MK_HGTV_LogoThumbnail_70x70.png,,Entertainment
22,MTV Music,https://static.sky.co.nz/sky/epglogos/mtv-hits.png,,Music
23,DUKE,https://static.sky.co.nz/sky/epglogos/MK_DUKE_LogoThumbnail_80x60.png,,Entertainment
24,Rush,https://static.sky.co.nz/sky/epglogos/rush/Colour_Logo.png,,Entertainment
25,The Shopping Channel,https://static.sky.co.nz/sky/epglogos/The_Shopping_Channel.png,,Entertainment
30,Premiere Movies,https://static.sky.co.nz/sky/epglogos/MK_Sky_Movies_Premiere_Logo.png,true,Movies
31,Comedy Movies,https://static.sky.co.nz/sky/epglogos/MK_Sky_Movies_Comedy_Logo.png,true,Movies
